carco11,~
dangmashedpotato,&
heracrossnite,@
iceangel22,%
LinkCodeX,%
superscolipede,+
soft lopunny,+
hayleysworld,~
Camilas,%
Legacy Enervate,&
megas4ever,&
BT Cant Get Burns,+
lightning1870,+
Yostuff,+
Serenity Guardian,@
Extradeath,☠
Yuuki X - ⓑⓐⓓ,~
Phoenix Meliodas,%
